ID,T(K),Z*10^-4 reported,Resist(Ohm.cm),Seebeck(uV/K),kappaZT,,Resist(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),x,Formula,series,T_Max,family,,,Conduct(S/cm),Power_Factor*T_(W/mK),preparative_route,final_form,cell_volume(A^3),formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,ICSD_of_structure,temp of ICSD (K),S^2,ke/ktotal,space_group,number_symmetry_elements,,
60,1000,NA,0.0126982,-152.892,0.184088797,1,0.00752127,-119.985,0.000184089,0.063883122,2.88165,0.04,CaMn0.96Ru0.04O3,CaMnRuO3,NA,CaMnO3,NA,NA,78.75131908,0.184088797,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,23375.96366,0.066681665,62,8,,
61,400,NA,0.00660169,-101.595,0.062538799,1,0.00660169,-101.595,0.000156347,NA,NA,0.06,CaMn0.94Ru0.06O3,CaMnRuO3,NA,CaMnO3,NA,NA,151.4763644,0.062538799,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,10321.54403,NA,62,8,,
62,700,NA,0.00892335,-122.221,0.117182235,1,0.00660169,-101.595,0.000167403,NA,NA,0.06,CaMn0.94Ru0.06O3,CaMnRuO3,NA,CaMnO3,NA,NA,112.0655359,0.117182235,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,14937.97284,NA,62,8,,
63,1000,NA,0.0113926,-144.545,0.183393229,1,0.00660169,-101.595,0.000183393,NA,NA,0.06,CaMn0.94Ru0.06O3,CaMnRuO3,NA,CaMnO3,NA,NA,87.77627583,0.183393229,solid_state_reaction,polycrystalline,208.21,4,5,20,10.4105,166044,298,20893.25703,NA,62,8,,
64,400,NA,0.00395648,-60.5695,0.037090185,1,0.00395648,-60.5695,9.27255E-05,NA,NA,0.1,CaMn0.9Ru0.1O3,CaMnRuO3,NA,CaMnO3,NA,NA,252.7499191,0.037090185,solid_state_reaction,polycrystalline,210.36,4,5,20,10.518,165698,293,3668.66433,NA,62,8,,
65,700,NA,0.00529042,-81.6199,0.088145471,1,0.00395648,-60.5695,0.000125922,NA,NA,0.1,CaMn0.9Ru0.1O3,CaMnRuO3,NA,CaMnO3,NA,NA,189.0209095,0.088145471,solid_state_reaction,polycrystalline,210.36,4,5,20,10.518,165698,293,6661.808076,NA,62,8,,
66,1000,NA,0.00673792,-101.822,0.15387122,1,0.00395648,-60.5695,0.000153871,NA,NA,0.1,CaMn0.9Ru0.1O3,CaMnRuO3,NA,CaMnO3,NA,NA,148.4137538,0.15387122,solid_state_reaction,polycrystalline,210.36,4,5,20,10.518,165698,293,10367.71968,NA,62,8,,
67,400,NA,0.00310502,-35.6717,0.016392425,1,0.00310502,-35.6717,4.09811E-05,NA,NA,0.18,CaMn0.82Ru0.18O3,CaMnRuO3,NA,CaMnO3,NA,NA,322.0591172,0.016392425,solid_state_reaction,polycrystalline,210.36,4,5,20,10.518,165698,293,1272.470181,NA,62,8,,
68,700,NA,0.00403027,-55.8726,0.054220268,1,0.00310502,-35.6717,7.74575E-05,NA,NA,0.18,CaMn0.82Ru0.18O3,CaMnRuO3,NA,CaMnO3,NA,NA,248.1223342,0.054220268,solid_state_reaction,polycrystalline,210.36,4,5,20,10.518,165698,293,3121.747431,NA,62,8,,
69,1000,NA,0.00504634,-67.8691,0.091278327,1,0.00310502,-35.6717,9.12783E-05,NA,NA,0.18,CaMn0.82Ru0.18O3,CaMnRuO3,NA,CaMnO3,NA,NA,198.1634214,0.091278327,solid_state_reaction,polycrystalline,210.36,4,5,20,10.518,165698,293,4606.214735,NA,62,8,,
